Unnamed: 0,week,year,countyx,count,incidence,index,BinX,BinY,Unnamed: 0,X,Y,county
154,7,2001,LK Enzkreis,2.0,34.039027464046804,154,5,3,349.0,8.728694255,48.90092033,LK Enzkreis
155,7,2001,LK Euskirchen,1.0,23.7934726573343,155,1,6,266.0,6.649498443,50.52506986,LK Euskirchen
156,7,2001,LK Fürth,1.0,37.0805265434769,156,8,4,347.0,10.85321432,49.45391379,LK Fürth
157,7,2001,LK Goslar,2.0,55.189041828953115,157,8,9,195.0,10.4187703,51.85454134,LK Goslar
158,7,2001,LK Göttingen,9.0,111.6358897523468,158,7,8,410.0,10.09441644,51.55486849,LK Göttingen
159,7,2001,LK Hochsauerlandkreis,11.0,149.4083792534995,159,4,8,19.0,8.427181649,51.32331517,LK Hochsauerlandkreis
160,7,2001,LK Kitzingen,1.0,35.89375448671929,160,8,5,161.0,10.293139300000002,49.75479546,LK Kitzingen
161,7,2001,LK Konstanz,1.0,17.2724830153917,161,6,1,270.0,9.129606178,47.8477235,LK Konstanz
162,7,2001,LK Lüchow-Dannenberg,3.0,232.0175299929812,162,9,11,46.0,11.1083816,53.02062165,LK Lüchow-Dannenberg
163,7,2001,LK Neckar-Odenwald-Kreis,1.0,23.598820058997106,163,6,4,171.0,9.285224519,49.46778434,LK Neckar-Odenwald-Kreis
164,7,2001,LK Neuwied,1.0,24.6720671080225,164,3,7,336.0,7.561404467999999,50.63868118,LK Neuwied
165,7,2001,LK Nordfriesland,6.0,128.8510510994008,165,6,15,172.0,9.114426279,54.87523833,LK Nordfriesland
166,7,2001,LK Northeim,1.0,24.569689193431696,166,7,9,267.0,10.06674944,51.92872312,LK Northeim
167,7,2001,LK Ortenaukreis,2.0,16.02888108927095,167,4,3,318.0,8.222920962,48.60422656,LK Ortenaukreis
168,7,2001,LK Passau,2.0,37.20160563009949,168,13,3,238.0,13.38156136,48.5843481,LK Passau
169,7,2001,LK Pinneberg,1.0,12.180844944611001,169,7,13,223.0,9.752625682,53.89462551,LK Pinneberg
170,7,2001,LK Regen,11.0,565.0935415632478,170,12,3,208.0,13.0985455,49.02234446,LK Regen
171,7,2001,LK Rhein-Erft-Kreis,1.0,9.4700955427417,171,1,7,332.0,6.7243826570000005,50.91095217,LK Rhein-Erft-Kreis
172,7,2001,LK Rhein-Kreis Neuss,2.0,17.871851937683502,172,1,8,365.0,6.643107827000001,51.14760705,LK Rhein-Kreis Neuss
173,7,2001,LK Rhein-Sieg-Kreis,1.0,7.136258935190869,173,2,7,357.0,7.200650126,50.74223782,LK Rhein-Sieg-Kreis
174,7,2001,LK Rheingau-Taunus-Kreis,1.0,21.232674727219106,174,4,6,229.0,8.100802268999999,50.15810985,LK Rheingau-Taunus-Kreis
175,7,2001,LK Steinfurt,1.0,7.295512854288338,175,3,10,59.0,7.609238499999999,52.19549011,LK Steinfurt
176,7,2001,LK Straubing-Bogen,1.0,40.4922052504893,176,11,3,312.0,12.53082183,48.88573591,LK Straubing-Bogen
177,7,2001,LK Tuttlingen,5.0,118.3805587773374,177,5,1,287.0,8.793968846,47.99870905,LK Tuttlingen
178,7,2001,LK Uelzen,1.0,52.3438408747237,178,8,12,222.0,10.75615881,53.12483317,LK Uelzen
179,7,2001,LK Würzburg,1.0,20.7375661009919,179,7,5,367.0,9.917228179,49.72641812,LK Würzburg
180,7,2001,SK Darmstadt,4.0,124.76348170603201,180,5,5,322.0,8.666564557000001,49.88968355,SK Darmstadt
181,7,2001,SK Emden,1.0,54.313388250203715,181,2,12,291.0,7.173407894,53.36926198,SK Emden
182,7,2001,SK Karlsruhe,2.0,17.525911754347888,182,4,3,189.0,8.418971817000001,49.01040226,SK Karlsruhe
183,7,2001,SK Köln,5.0,22.039166421816873,183,2,7,358.0,6.95755812,50.95978658,SK Köln
184,7,2001,SK München,2.0,7.63917990819432,184,10,2,83.0,11.55480833,48.15608074,SK München
185,8,2001,LK Aichach-Friedberg,9.0,271.8719290769642,185,9,2,338.0,11.07345012,48.41245885,LK Aichach-Friedberg
186,8,2001,LK Bad Dürkheim,1.0,29.466653570376202,186,4,4,63.0,8.098916502,49.43943465,LK Bad Dürkheim
187,8,2001,LK Bayreuth,1.0,24.681878016674,187,10,5,328.0,11.54100506,49.88512225,LK Bayreuth
188,8,2001,LK Bodenseekreis,1.0,19.5728763429168,188,6,1,151.0,9.414845587,47.74277132,LK Bodenseekreis
189,8,2001,LK Borken,1.0,8.878235006880631,189,2,9,256.0,6.869320862,51.94162227,LK Borken
190,8,2001,LK Cham,1.0,27.626853301409,190,12,4,159.0,12.6729384,49.22430336,LK Cham
191,8,2001,LK Dachau,3.0,70.1014751768214,191,9,2,9.0,11.34429534,48.34214662,LK Dachau
192,8,2001,LK Göttingen,8.0,95.61682532515077,192,7,8,410.0,10.09441644,51.55486849,LK Göttingen
193,8,2001,LK Hochsauerlandkreis,4.0,59.1951953819541,193,4,8,19.0,8.427181649,51.32331517,LK Hochsauerlandkreis
194,8,2001,LK Höxter,1.0,21.4610184445531,194,6,9,216.0,9.187340625,51.68815354,LK Höxter
195,8,2001,LK Karlsruhe,2.0,15.8605679845624,195,5,3,168.0,8.548759352000001,49.03666902,LK Karlsruhe
196,8,2001,LK Kitzingen,8.0,325.3815485980321,196,8,5,161.0,10.293139300000002,49.75479546,LK Kitzingen
197,8,2001,LK Konstanz,8.0,113.64484210733958,197,6,1,270.0,9.129606178,47.8477235,LK Konstanz
198,8,2001,LK Lörrach,1.0,15.9284987389939,198,3,1,181.0,7.788603827,47.70943661,LK Lörrach
199,8,2001,LK Lüchow-Dannenberg,4.0,386.7828937709794,199,9,11,46.0,11.1083816,53.02062165,LK Lüchow-Dannenberg
200,8,2001,LK Main-Tauber-Kreis,2.0,49.7884467361091,200,7,5,368.0,9.735726211,49.57583333,LK Main-Tauber-Kreis
201,8,2001,LK Marburg-Biedenkopf,1.0,18.064308939825803,201,5,7,57.0,8.742193944,50.84061268,LK Marburg-Biedenkopf
202,8,2001,LK Neckar-Odenwald-Kreis,1.0,25.5033366865498,202,6,4,171.0,9.285224519,49.46778434,LK Neckar-Odenwald-Kreis
203,8,2001,LK Nienburg (Weser),1.0,38.500203195516896,203,6,11,206.0,9.127560408999999,52.62663367,LK Nienburg (Weser)
204,8,2001,LK Nordfriesland,15.0,369.45926627770865,204,6,15,172.0,9.114426279,54.87523833,LK Nordfriesland
205,8,2001,LK Oberallgäu,1.0,28.1030444964871,205,7,1,97.0,10.24905409,47.57647057,LK Oberallgäu
206,8,2001,LK Oder-Spree,1.0,19.1515847936417,206,14,10,136.0,14.166683,52.24931095,LK Oder-Spree
207,8,2001,LK Ortenaukreis,1.0,8.02686323562857,207,4,3,318.0,8.222920962,48.60422656,LK Ortenaukreis
208,8,2001,LK Ostalbkreis,1.0,10.1258986735073,208,7,3,200.0,10.03680132,48.87699725,LK Ostalbkreis
209,8,2001,LK Pinneberg,1.0,13.315776235778001,209,7,13,223.0,9.752625682,53.89462551,LK Pinneberg
210,8,2001,LK Rastatt,1.0,15.562318439618199,210,4,3,117.0,8.208243605,48.79259362,LK Rastatt
211,8,2001,LK Regen,9.0,452.5399425401538,211,12,3,208.0,13.0985455,49.02234446,LK Regen
212,8,2001,LK Rhein-Erft-Kreis,2.0,18.9401910854834,212,1,7,332.0,6.7243826570000005,50.91095217,LK Rhein-Erft-Kreis
213,8,2001,LK Rhön-Grabfeld,1.0,41.63582531458179,213,7,6,56.0,10.26110163,50.36123232,LK Rhön-Grabfeld
214,8,2001,LK Rotenburg (Wümme),1.0,19.8288112627648,214,6,12,242.0,9.316856217,53.25558878,LK Rotenburg (Wümme)
215,8,2001,LK Schleswig-Flensburg,1.0,20.509314647068894,215,6,14,245.0,9.676287624,54.49772785,LK Schleswig-Flensburg
216,8,2001,LK Schweinfurt,1.0,29.935140528854102,216,7,5,351.0,10.28494421,50.01617769,LK Schweinfurt
217,8,2001,LK Straubing-Bogen,2.0,71.78651656283031,217,11,3,312.0,12.53082183,48.88573591,LK Straubing-Bogen
218,8,2001,LK Südwestpfalz,1.0,41.481344917383,218,3,4,363.0,7.664030661,49.21527088,LK Südwestpfalz
219,8,2001,LK Trier-Saarburg,1.0,23.864766324163103,219,1,5,177.0,6.697399572,49.70835048,LK Trier-Saarburg
220,8,2001,LK Tuttlingen,6.0,142.9454540703868,220,5,1,287.0,8.793968846,47.99870905,LK Tuttlingen
221,8,2001,LK Waldshut,1.0,20.3806655419559,221,4,1,251.0,8.277484463,47.6936338,LK Waldshut
