,county,X,Y,BinX,BinY
186,LK Märkisch-Oderland,14.06722572,52.61170978,14,11
187,LK Main-Taunus-Kreis,8.431751829,50.11309205,4,6
188,LK Harburg,10.01747749,53.33719513,7,12
189,SK Karlsruhe,8.418971817000001,49.01040226,4,3
190,LK Coesfeld,7.404507927999999,51.85010267,3,9
191,LK Lüneburg,10.57819848,53.21764019,8,12
192,SK Salzgitter,10.36556736,52.11665718,8,10
193,LK Friesland,8.092212818,53.63966428,4,13
194,SK Hof,11.8884468,50.31243296,10,6
195,LK Goslar,10.4187703,51.85454134,8,9
196,LK Nordhausen,10.71192854,51.50895656,8,8
197,SK Pirmasens,7.60504382,49.19846055,3,4
198,LK Bad Kreuznach,7.6730150560000006,49.81207435,3,5
199,SK Koblenz,7.588323817000001,50.34567982,3,6
200,LK Ostalbkreis,10.03680132,48.87699725,7,3
201,LK Schwäbisch Hall,9.900279831,49.14720429,7,4
202,LK Tübingen,8.986157546,48.49149713,5,2
203,SK Suhl,10.70055396,50.61159874,8,7
204,LK Schmalkalden-Meiningen,10.392745,50.6211518,8,7
205,LK Düren,6.436490245,50.82786723,1,7
206,LK Nienburg (Weser),9.127560408999999,52.62663367,6,11
207,SK Heidelberg,8.685847398,49.40535296,5,4
208,LK Regen,13.0985455,49.02234446,12,3
209,LK Ebersberg,11.91814199,48.07381557,10,2
210,SK Pforzheim,8.713356024,48.87577763,5,3
211,SK Bottrop,6.922265187000001,51.56832278,2,9
212,SK Bielefeld,8.529956131,52.00734698,5,9
213,LK Kulmbach,11.49897932,50.10415131,10,6
214,LK Havelland,12.59843369,52.61017739,11,11
215,SK Kassel,9.558434569,51.35267505,6,8
216,LK Höxter,9.187340625,51.68815354,6,9
217,LK Heilbronn,9.220702606,49.17535877,6,4
218,SK Brandenburg a.d.Havel,12.71794558,52.52644531,12,10
219,LK Göppingen,9.729747831000001,48.66954431,7,3
220,LK Vulkaneifel,6.739003437999999,50.25695885,1,6
221,SK Neumünster,9.991196322999999,54.081657799999995,7,14
222,LK Uelzen,10.75615881,53.12483317,8,12
223,LK Pinneberg,9.752625682,53.89462551,7,13
224,LK Nürnberger Land,11.39132264,49.51477278,9,4
225,LK Aschaffenburg,9.220855631000001,49.98359099,6,5
226,LK Heidenheim,10.22091399,48.6697696,7,3
227,SK Worms,8.340753802,49.66079506,4,5
228,LK Stormarn,10.5808881,53.89921455,8,13
229,LK Rheingau-Taunus-Kreis,8.100802268999999,50.15810985,4,6
230,SK Trier,6.665054587,49.76602517,1,5
231,LK Soest,8.193101765,51.58734747,4,9
232,LK Tirschenreuth,12.18572638,49.89883862,11,5
233,LK Donnersbergkreis,7.917653539,49.63007273,3,5
234,LK Ahrweiler,7.008369565,50.46398123,2,6
235,LK Bergstraße,8.798342542,49.739414000000004,5,5
236,LK Unterallgäu,10.57487898,48.21305543,8,2
237,SK Würzburg,9.937880783999999,49.78048468,7,5
238,LK Passau,13.38156136,48.5843481,13,3
239,LK Werra-Meißner-Kreis,9.936517026,51.20757939,7,8
240,LK Esslingen,9.367813245,48.64586295,6,3
241,SK Oberhausen,6.851117328,51.51384723,2,8
242,LK Rotenburg (Wümme),9.316856217,53.25558878,6,12
243,SK Kaiserslautern,7.755980555,49.43003929,3,4
244,SK Flensburg,9.445634438999999,54.79235391,6,15
245,LK Schleswig-Flensburg,9.676287624,54.49772785,6,14
246,SK Chemnitz,12.91274102,50.826681,12,7
247,SK Leipzig,12.37970108,51.33833756,11,8
248,SK Regensburg,12.10572958,49.02247993,11,3
249,LK Erzgebirgskreis,12.96347656,50.62634756,12,7
250,LK Mittelsachsen,13.15150546,50.94331082,12,7
251,LK Waldshut,8.277484463,47.6936338,4,1
252,LK Günzburg,10.37483887,48.35507256,8,2
253,SK Mönchengladbach,6.430418459,51.16880353,1,8
254,LK Viersen,6.373294422000001,51.29447845,1,8
255,LK Heinsberg,6.1708972079999995,51.046667299999996,1,7
256,LK Borken,6.869320862,51.94162227,2,9
257,LK Recklinghausen,7.155475257000001,51.64986129,2,9
258,LK Oberspreewald-Lausitz,13.94100869,51.55889642,14,8
259,LK Main-Spessart,9.67167076,49.99799059,6,5
260,LK Kusel,7.479068831,49.56349259,3,5
261,LK Neustadt a.d.Waldnaab,12.10698112,49.67855521,11,5
262,LK Amberg-Sulzbach,11.80205943,49.4990781,10,4
263,SK Hagen,7.485512772000001,51.34104646,3,8
264,LK Ennepe-Ruhr-Kreis,7.341123241,51.34042391,2,8
265,SK Erlangen,10.98199828,49.58757013,9,5
266,LK Euskirchen,6.649498443,50.52506986,1,6
267,LK Northeim,10.06674944,51.92872312,7,9
268,SK Bochum,7.232085266,51.47381389,2,8
269,LK Schwandorf,12.25633438,49.37134374,11,4
270,LK Konstanz,9.129606178,47.8477235,6,1
271,LK Reutlingen,9.360436238,48.42092937,6,2
272,SK Ulm,9.950453077,48.39081752,7,2
273,SK Delmenhorst,8.644753802,53.05374091,5,11
274,LK Herford,8.665741515,52.16283379,5,10
275,LK Groß-Gerau,8.489639367,49.90497794,4,5
276,LK Mühldorf a.Inn,12.36220135,48.23981229,11,2
277,LK Osterholz,8.764084716000001,53.24818551,5,12
278,SK Weimar,11.31855584,50.9818762,9,7
279,LK Verden,9.190999161,52.96728834,6,11
280,SK Weiden i.d.OPf.,12.16364431,49.66588673,11,5
281,LK Freyung-Grafenau,13.48604247,48.82855602,13,3
282,LK Grafschaft Bentheim,7.016400346,52.49645878,2,10
283,LK Alb-Donau-Kreis,9.865800228,48.37464432,7,2
284,SK Zweibrücken,7.369184061,49.25233057,3,4
285,SK Speyer,8.444526552000001,49.33673723,4,4
286,LK Wolfenbüttel,10.80276233,52.04937278,8,9
287,LK Tuttlingen,8.793968846,47.99870905,5,1
288,LK Paderborn,8.727860063,51.64948114,5,9
289,LK Wesel,6.606887225,51.61954756,1,9
290,LK Gütersloh,8.376631488,51.93652035,4,9
291,SK Emden,7.1734078939999995,53.36926198,2,12
292,SK Wilhelmshaven,8.072971607000001,53.5651507,4,13
293,SK Osnabrück,8.05904802,52.27906172,4,10
294,LK Wittmund,7.810773403,53.70922478,3,13
295,SK Gera,12.087031,50.88876583,11,7
296,LK Forchheim,11.17250092,49.728558500000005,9,5
297,LK Erlangen-Höchstadt,10.94604584,49.63479387,9,5
298,LK Gifhorn,10.61457645,52.54643632,8,10
299,SK Braunschweig,10.52882819,52.28571452,8,10
300,SK Fürth,10.96638261,49.49040584,9,4
301,LK Bitburg-Prüm,6.410603439,50.07655585,1,6
302,SK Solingen,7.073292041,51.15819221,2,8
303,LK Ostprignitz-Ruppin,12.54043119,53.01491239999999,11,11
304,LK Oberhavel,13.20335395,52.91120096,12,11
305,LK Spree-Neiße,14.44000579,51.72429548,15,9
306,LK Altmarkkreis Salzwedel,11.34194141,52.7059808,9,11
307,LK Wunsiedel i.Fichtelgebirge,12.03787822,50.10089518,10,6
308,SK Kiel,10.13363587,54.33705667,7,14
309,StädteRegion Aachen,6.417590692999999,50.61051921,1,7
310,LK Westerwaldkreis,7.871130063,50.64982156,3,7
311,LK Altenkirchen,7.7270285,50.73946897,3,7
312,LK Straubing-Bogen,12.53082183,48.88573591,11,3
313,LK Dingolfing-Landau,12.62161502,48.6344399,11,3
314,LK Landshut,12.19815078,48.55369295,11,2
315,LK Bad Tölz-Wolfratshausen,11.48927975,47.740659,10,1
316,LK Weilheim-Schongau,11.04465436,47.78062286,9,1
317,LK Stadtverband Saarbrücken,6.969358542,49.24673345,2,4
318,LK Ortenaukreis,8.222920962,48.60422656,4,3
319,LK Emmendingen,7.941176033,48.14173878,4,2
320,LK Märkischer Kreis,7.718627682,51.26186162,3,8
321,LK Miesbach,11.80110436,47.75190695,10,1
322,SK Darmstadt,8.666564557000001,49.88968355,5,5
323,SK Düsseldorf,6.825464322,51.23556231,2,8
324,LK Mettmann,6.963113017,51.24188999,2,8
325,SK Gelsenkirchen,7.066820644,51.56146472,2,8
326,SK Herne,7.215503437000001,51.53652305,2,8
327,LK Augsburg,10.73523718,48.36649759,8,2
328,LK Bayreuth,11.54100506,49.88512225,10,5
329,SK Oldenburg,8.226205027999999,53.14845378,4,12
330,LK Ammerland,8.032910638999999,53.22147688,4,12
331,LK Leer,7.816364299,53.37698084,3,12
332,LK Rhein-Erft-Kreis,6.7243826570000005,50.91095217,1,7
333,LK Görlitz,14.71406248,51.24456627,15,8
334,LK Unna,7.615060185,51.58154829,3,9
335,LK Mayen-Koblenz,7.375897496,50.33516807,3,6
336,LK Neuwied,7.561404467999999,50.63868118,3,7
337,SK Augsburg,10.87617153,48.34534076,8,2
338,LK Aichach-Friedberg,11.07345012,48.41245885,9,2
339,LK Neunkirchen,7.120980672999999,49.37962957,2,4
340,LK Saar-Pfalz-Kreis,7.237225176,49.25900047,2,4
341,LK Traunstein,12.56806566,47.91076967,11,1
342,LK Peine,10.2489519,52.30198811,7,10
343,LK Hildesheim,9.936837271,52.10790761,7,10
344,Region Hannover,9.740668383,52.42059177,7,10
345,LK Steinburg,9.555018578,53.95343947,6,13
346,LK Dithmarschen,9.177040258,54.33656702,6,14
347,LK Fürth,10.85321432,49.45391379,8,4
348,SK Nürnberg,11.26434146,49.44199411,9,4
349,LK Enzkreis,8.728694255,48.90092033,5,3
350,LK Böblingen,8.942495704,48.67913217,5,3
351,LK Schweinfurt,10.28494421,50.01617769,7,5
352,SK Schweinfurt,10.22943837,50.05813935,7,5
353,SK Bayreuth,11.58109613,49.93541737,10,5
354,SK Münster,7.62755318,51.95097008,3,9
355,LK Warendorf,7.956016977000001,51.85824772,4,9
356,SK Bonn,7.107119302999999,50.70274972,2,7
357,LK Rhein-Sieg-Kreis,7.200650126,50.74223782,2,7
358,SK Köln,6.95755812,50.95978658,2,7
359,LK Wittenberg,12.66843512,51.77988465,12,9
360,SK Remscheid,7.213788854,51.17831760000001,2,8
361,SK Dresden,13.78121489,51.07334504,13,8
362,LK Bautzen,14.20996868,51.314749299999995,14,8
363,LK Südwestpfalz,7.664030661,49.21527088,3,4
364,LK Südliche Weinstraße,8.040234747000001,49.19470603,4,4
365,LK Rhein-Kreis Neuss,6.643107827000001,51.14760705,1,8
366,LK Darmstadt-Dieburg,8.757112401,49.85856737,5,5
367,LK Würzburg,9.917228179,49.72641812,7,5
368,LK Main-Tauber-Kreis,9.735726211,49.57583333,7,5
369,LK Heidekreis,9.772533289,52.93105958,7,11
370,LK Celle,10.08988144,52.70343806,7,11
371,LK Ostallgäu,10.65340057,47.80151836,8,1
372,LK Berchtesgadener Land,12.88421843,47.72628986,12,1
373,LK Elbe-Elster,13.42939517,51.57966162,13,9
374,SK Dessau-Roßlau,12.24207734,51.84624378,11,9
375,LK Anhalt-Bitterfeld,12.17414403,51.77891857,11,9
376,LK Garmisch-Partenkirchen,11.15861596,47.56180103,9,1
377,LK Coburg,10.94675969,50.25003169,9,6
378,LK Saale-Orla-Kreis,11.71212513,50.58546309,10,7
379,LK Vogtlandkreis,12.21786306,50.45888056,11,6
380,SK Ansbach,10.5590396,49.29316505,8,4
381,LK Zwickau,12.53826191,50.74429118,11,7
382,LK Greiz,12.08360752,50.76822583,11,7
383,LK Sonneberg,11.13610201,50.41597409,9,6
384,LK Saalfeld-Rudolstadt,11.30474493,50.61991768,9,7
385,LK Kronach,11.37891671,50.33613718,9,6
386,LK Hof,11.82744041,50.268662,10,6
387,LK Ansbach,10.45987909,49.25439149,8,4
388,LK Herzogtum Lauenburg,10.58870681,53.62530023,8,13
389,SK Schwabach,11.02545458,49.33136257,9,4
390,LK Ludwigslust?Parchim,11.79886594,53.77235309,10,13
391,LK Vorpommern?Greifswald,14.40954771,53.33163921,15,12
392,SK Schwerin,11.41526895,53.62850337,9,13
393,LK Mecklenburgische Seenplatte,13.024983099999998,53.63764106,12,13
394,LK Rostock,12.28132494,53.8971692,11,13
395,LK Vorpommern-Rügen,13.32117165,54.19511557,13,14
396,SK Rostock,12.12517513,54.14248171,11,14
397,LK Nordwestmecklenburg,11.61723669,53.91201297,10,13
398,SK Berlin Mitte,13.36955687,52.53552488,13,10
399,SK Berlin Friedrichshain-Kreuzberg,13.43358439,52.50618579,13,10
400,SK Berlin Pankow,13.43977683,52.6042512,13,11
401,SK Berlin Charlottenburg-Wilmersdorf,13.27758737,52.50819325,13,10
402,SK Berlin Steglitz-Zehlendorf,13.22065101,52.43234055,12,10
403,SK Berlin Tempelhof-Schöneberg,13.37825113,52.44223969,13,10
404,SK Berlin Neukölln,13.45221228,52.44930938,13,10
405,SK Berlin Treptow-Köpenick,13.60346202,52.432367000000006,13,10
406,SK Berlin Marzahn-Hellersdorf,13.58748769,52.51996384,13,10
407,SK Berlin Lichtenberg,13.51181546,52.53558041,13,10
408,SK Berlin Reinickendorf,13.31213383,52.60406511,13,11
409,SK Berlin Spandau,13.17966838,52.52837136,12,10
410,LK Göttingen,10.09441644,51.55486849,7,8
